Country,Type,Year,TWh,Popn,MWhPerCap,inc,Max,MaxYear,MaxPop,totalMWhPerCap,cleanMWhPerCap
Algeria,Biomass/Geo,1975,0,15342747,0,NA,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1976,0,16106636,0,NA,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1977,0,16894396,0,NA,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1978,0,17373987,0,NA,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1979,0,17891303,0,NA,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1980,0,18442659,0,NA,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1981,0,19036098,0,NA,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1982,0,19666615,0,NA,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1983,0,20333578,0,NA,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1984,0,21030644,0,NA,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1985,0,21756416,0,0,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1986,0,22509394,0,0,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1987,0,23255711,0,0,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1988,0,23916490,0,0,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1989,0,24569547,0,0,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1990,0,25209467,0,0,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1991,0,25826681,0,0,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1992,0,26441129,0,0,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1993,0,27055476,0,0,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1994,0,27653179,0,0,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1995,0,28220833,0,0,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1996,0,28735211,0,0,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1997,0,29234057,0,0,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1998,0,29718005,0,0,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,1999,0,30131332,0,0,0,1975,15342747,2.0564125138358844,0.017959934618654014
Algeria,Biomass/Geo,2000,0,30560833,0,0,0,1975,15342747,2.0564125138358844,0.017959934618654014
